month_date,open,high,low,close,volume,open_aapl,high_aapl,low_aapl,close_aapl,volume_aapl,open_amazon,high_amazon,low_amazon,close_amazon,volume_amazon,open_msft,high_msft,low_msft,close_msft,volume_msft
2019-11-01,8506.51,8533.81,8482.19,8517.58,2079099500.0,65.42,65.87,65.06,65.63,89666300.0,1775.34,1784.22,1764.3,1774.29,2603810.0,147.85,148.55,147.16,148.1,19618590.0
2019-12-01,8772.97,8802.05,8746.52,8778.59,2187660952.38,68.85,69.47,68.47,69.13,113752133.33,1786.19,1797.11,1773.85,1785.77,3245219.05,153.98,154.77,153.16,154.18,21443014.29
2020-01-01,9225.23,9271.21,9181.68,9233.36,2497921428.57,77.79,78.58,77.21,77.98,139731923.81,1886.06,1898.0,1870.35,1884.24,4033252.38,163.97,164.98,162.69,164.0,26596666.67
2020-02-01,9419.15,9498.84,9349.11,9418.85,2822839473.68,77.58,78.81,76.68,77.82,158909431.58,2065.85,2094.27,2045.06,2066.18,4868952.63,178.57,181.36,175.85,178.72,46711700.0
2020-03-01,7748.4,7950.42,7564.53,7772.21,4403365454.55,65.27,67.42,63.71,65.61,285457836.36,1863.15,1910.39,1825.16,1872.31,7445868.18,151.99,157.55,147.6,152.55,73304340.91
2020-04-01,8282.74,8375.7,8189.58,8292.41,3747482857.14,67.95,68.95,67.02,68.1,155490438.1,2216.11,2256.84,2185.93,2228.71,5933800.0,169.21,171.33,166.37,169.04,46890714.29
2020-05-01,9092.62,9182.12,9013.62,9105.66,4031714500.0,77.22,78.31,76.6,77.5,140296800.0,2391.14,2418.9,2364.49,2394.18,4129220.0,182.27,184.4,180.27,182.34,34442250.0
2020-06-01,9828.11,9919.78,9730.84,9839.97,5066148636.36,86.14,87.34,85.16,86.45,147426163.64,2608.35,2641.9,2579.1,2613.55,3991740.91,191.96,194.67,189.87,192.7,34771154.55
2020-07-01,10491.73,10575.21,10386.01,10499.86,4287325909.09,95.42,96.59,94.27,95.57,137285600.0,3053.88,3107.9,2991.49,3053.85,5795545.45,207.12,209.36,204.26,207.08,35008672.73
2020-08-01,11188.41,11261.04,11126.83,11212.29,3733725238.1,116.97,118.57,115.56,117.3,193812433.33,3241.43,3284.94,3207.5,3249.25,3976980.95,213.76,216.28,211.76,214.35,32972566.67
2020-09-01,11119.77,11223.95,10955.58,11088.68,3907592857.14,116.08,118.04,112.58,115.13,185011671.43,3180.54,3221.15,3109.8,3160.75,5519014.29,209.53,212.47,205.7,208.81,36579823.81
2020-10-01,11455.09,11543.08,11353.15,11435.23,3537596363.64,116.69,118.27,114.91,116.41,131575750.0,3241.36,3283.25,3185.98,3230.6,5283004.55,213.05,215.41,210.68,212.89,28709909.09
2020-11-01,11786.2,11866.58,11692.18,11794.46,4529930500.0,116.75,118.2,115.41,116.83,106153865.0,3147.33,3179.72,3102.22,3141.81,4540525.0,214.21,216.46,211.85,214.14,28672150.0
2020-12-01,12605.31,12664.63,12535.07,12619.05,5077595000.0,127.15,128.61,125.73,127.29,105554072.73,3199.93,3226.71,3166.3,3197.75,3525281.82,217.61,219.53,216.01,217.96,27034622.73
2021-01-01,13195.81,13283.7,13085.16,13186.61,7267166315.79,133.1,135.07,130.98,133.04,117908526.32,3206.54,3241.23,3171.65,3200.05,3764678.95,221.94,224.57,219.52,221.98,34109284.21
2021-02-01,13733.61,13824.83,13604.04,13737.4,7378841052.63,132.02,133.07,129.93,131.53,96518715.79,3267.66,3302.05,3227.94,3263.87,3795105.26,239.62,241.97,237.45,240.07,25840115.79
2021-03-01,13190.96,13302.22,13034.08,13168.81,5795578260.87,122.09,123.47,120.4,121.87,115235573.91,3074.58,3108.16,3033.28,3068.27,3399478.26,233.83,236.29,231.51,233.67,31519382.61
2021-04-01,13889.21,13963.88,13818.27,13900.44,4335741428.57,131.67,132.91,130.47,131.81,89993214.29,3347.73,3383.69,3320.01,3352.17,3659028.57,254.7,256.99,253.23,255.58,27079123.81
2021-05-01,13529.39,13617.02,13429.07,13520.23,4447887500.0,127.04,128.16,125.82,126.78,85596745.0,3261.31,3285.7,3221.33,3246.26,3759195.0,247.69,249.48,245.74,247.4,24754245.0
